phase_source,model_or_condition,horizon,metric,mean,std,n_seeds,formatted_mean_std
phase13,GRU,1,MAE,1.0486453153452384,0.0378211219118953,5,1.0486 +/- 0.0378
phase13,GRU,3,MAE,1.0337125433276129,0.0274846140358946,5,1.0337 +/- 0.0275
phase13,GRU,6,MAE,0.9525153908078146,0.05057795824146172,5,0.9525 +/- 0.0506
phase13,HA,1,MAE,1.9087225491398947,2.482534153247273e-16,5,1.9087 +/- 0.0000
phase13,HA,3,MAE,1.7670076734430764,0.0,5,1.7670 +/- 0.0000
phase13,HA,6,MAE,1.555868891613001,0.0,5,1.5559 +/- 0.0000
phase13,Persistence,1,MAE,1.0493704965733723,0.0,5,1.0494 +/- 0.0000
phase13,Persistence,3,MAE,1.310700671402648,0.0,5,1.3107 +/- 0.0000
phase13,Persistence,6,MAE,1.6025600083736964,0.0,5,1.6026 +/- 0.0000
phase13,ST-Transformer-lite,1,MAE,1.0666603402823174,0.05558716115838619,5,1.0667 +/- 0.0556
phase13,ST-Transformer-lite,3,MAE,0.984696414900621,0.03747317366512184,5,0.9847 +/- 0.0375
phase13,ST-Transformer-lite,6,MAE,0.9012858376227847,0.022331914978898647,5,0.9013 +/- 0.0223
phase13,SeasonalHA,1,MAE,1.1484393823112802,0.0,5,1.1484 +/- 0.0000
phase13,SeasonalHA,3,MAE,1.015958182557622,0.0,5,1.0160 +/- 0.0000
phase13,SeasonalHA,6,MAE,0.9103676185940277,1.2412670766236366e-16,5,0.9104 +/- 0.0000
phase13,TCN,1,MAE,1.1420006854262978,0.0878163479708407,5,1.1420 +/- 0.0878
phase13,TCN,3,MAE,1.0113314772639779,0.03944625283948609,5,1.0113 +/- 0.0394
phase13,TCN,6,MAE,0.9377641885742708,0.017316805324153087,5,0.9378 +/- 0.0173
phase13,XGBoost,1,MAE,0.9735874663398455,0.008037494323705877,5,0.9736 +/- 0.0080
phase13,XGBoost,3,MAE,0.868904347121866,0.005875650298624649,5,0.8689 +/- 0.0059
phase13,XGBoost,6,MAE,0.7866823530346082,0.0027850745080682505,5,0.7867 +/- 0.0028
phase15,full_features,1,MAE,1.2215965808754885,0.10855826383624172,5,1.2216 +/- 0.1086
phase15,full_features,3,MAE,1.1485541259064218,0.03706610759581444,5,1.1486 +/- 0.0371
phase15,full_features,6,MAE,1.080662756296986,0.05345746353352313,5,1.0807 +/- 0.0535
phase15,speed_only,1,MAE,0.9656069591411803,0.08417013353565882,5,0.9656 +/- 0.0842
phase15,speed_only,3,MAE,1.0421897657272052,0.028340268801321275,5,1.0422 +/- 0.0283
phase15,speed_only,6,MAE,0.9297849753920859,0.025191466400926,5,0.9298 +/- 0.0252
phase15,speed_reliability,1,MAE,1.1682658752304556,0.07664755756734502,5,1.1683 +/- 0.0766
phase15,speed_reliability,3,MAE,1.1139459306813588,0.06690947026494598,5,1.1139 +/- 0.0669
phase15,speed_reliability,6,MAE,1.0552833752159458,0.10475688699177035,5,1.0553 +/- 0.1048
phase15,speed_time,1,MAE,1.1549255906986402,0.01626687162821184,5,1.1549 +/- 0.0163
phase15,speed_time,3,MAE,1.0676678055523823,0.018649022763598574,5,1.0677 +/- 0.0186
phase15,speed_time,6,MAE,0.9853306508350389,0.029412375455762595,5,0.9853 +/- 0.0294
phase15,speed_volatility,1,MAE,1.0759072207588105,0.07411905973507447,5,1.0759 +/- 0.0741
phase15,speed_volatility,3,MAE,1.012684306048207,0.0493123666227228,5,1.0127 +/- 0.0493
phase15,speed_volatility,6,MAE,0.9502898019178906,0.0437538059945846,5,0.9503 +/- 0.0438
