model,history_hours,horizon_hours,split,n,best_epoch,MAE,RMSE,sMAPE
LSTM,24,1,test,1,10,1.0913456462326703,2.42554390449956,0.014328550691794898
LSTM,24,1,val,15,10,1.250738529580195,2.628161114685334,0.016754950669215722
LSTM,24,3,test,1,7,1.0176827446301189,1.814134420077871,0.013419283952014903
LSTM,24,3,val,12,7,1.0345789877548988,1.953630530934915,0.013904643071144161
LSTM,24,6,test,1,7,0.9357991028082875,1.5712444236434921,0.0120838080678771
LSTM,24,6,val,12,7,0.9444006885626377,1.7485832269893316,0.01253805304359985
LSTM,24,12,test,1,11,0.8834826943249475,1.4740441413904106,0.011733636089067226
LSTM,24,12,val,16,11,1.0194637382537852,1.484889892791305,0.013011799887980374
LSTM,24,24,test,1,3,0.7131580288253296,1.1205194245266306,0.00940835736867293
LSTM,24,24,val,8,3,0.8881374950140295,1.172077936389427,0.011035113376561859
TCN,24,1,test,1,11,1.0890810658967693,2.44820870044504,0.014396832162208812
TCN,24,1,val,16,11,1.00407086226913,2.541903279346873,0.01390682278417937
TCN,24,3,test,1,8,1.0168855987949632,1.806635004690398,0.01366756899804812
TCN,24,3,val,13,8,1.0759239246101073,1.9788112761088803,0.014454521828721941
TCN,24,6,test,1,16,0.8922117933442321,1.4801173718240044,0.01180756937924937
TCN,24,6,val,20,16,0.9593414675068651,1.7084366362551486,0.013055229874402817
TCN,24,12,test,1,11,0.8465117114704599,1.399962780977403,0.01128595293337636
TCN,24,12,val,16,11,0.8865892716258948,1.3542792699025943,0.011898290170372276
TCN,24,24,test,1,1,0.8133512281904862,1.220468814468373,0.010953408652024722
TCN,24,24,val,6,1,0.9450560793159095,1.2981744132813509,0.012392217265757743
