model,ablation_group,split,n,MAE,RMSE,sMAPE
TCN,full_features,test,3,1.0200141067052568,1.9147330690161617,0.013494670805135701
TCN,full_features,val,40,1.1137576715605246,2.072586629606904,0.015042206072112629
TCN,speed_only,test,3,0.8950714506323189,1.9513631187315525,0.012324882543406407
TCN,speed_only,val,33,0.981361411118451,1.8723704308405444,0.013381402592487704
TCN,speed_reliability,test,3,1.0179308708043489,2.062438578846552,0.013717344569504153
TCN,speed_reliability,val,37,1.1372085768614055,2.221334396130286,0.015477330636838694
TCN,speed_time,test,3,1.0001605112745617,1.9178572536190455,0.013431518388771204
TCN,speed_time,val,36,1.063788053957012,1.946327449768711,0.01430201300145676
TCN,speed_volatility,test,3,0.9608229731750203,1.9626322246171197,0.013139484393532764
TCN,speed_volatility,val,27,1.0565411869177883,2.1499143026475642,0.014507086310570872
