horizon_hours,hour_group,n,MAE,RMSE,sMAPE
1,am_peak,1225,0.5997121974400111,1.6065985195159251,0.00973135057701884
1,off_peak,7738,0.9678522106534475,2.57891346408205,0.013051028061497522
1,pm_peak,1364,0.9193365552907815,2.6072457475528457,0.013611117320956467
3,am_peak,744,0.6349699804859776,1.304320541653753,0.009738506933323253
3,off_peak,4669,0.8931904913501327,1.6973122466691537,0.012149874974054809
3,pm_peak,899,1.3266681781467526,2.398700729737566,0.017523163873972902
6,am_peak,1525,0.6754937256359663,1.3861931627449693,0.010395450651840674
6,off_peak,9120,0.7848733494156286,1.4923698794359535,0.011072709542903543
6,pm_peak,1521,1.1209742754874146,1.8932399680192287,0.014799988364329036
