history_hours,horizon_hours,missing_level,n,MAE,RMSE,sMAPE
72,1,0.0,10327,0.9177750468981327,2.487460034798854,0.012731221421758547
72,1,0.05,10327,0.9275448703922861,2.52031728434522,0.012900294917504915
72,1,0.1,10327,0.9336583325993787,2.519557830575423,0.012975443822401903
72,1,0.2,10327,0.9912772868948684,2.6314298165620014,0.013891001299476362
168,3,0.0,6312,0.9244928329767534,1.7751070216475533,0.012630947359783911
168,3,0.05,6312,0.9367327055550346,1.8021596708261405,0.012849253162018796
168,3,0.1,6312,0.9520045263534566,1.8352417316181127,0.013091760228005567
168,3,0.2,6312,0.981114484813579,1.9114325209994831,0.01358096131730945
24,6,0.0,12166,0.8131822087195247,1.5357516547773626,0.011453802036616948
24,6,0.05,12166,0.82088709575221,1.5496699596524377,0.01157985769849974
24,6,0.1,12166,0.8384068103560135,1.5894677319658794,0.011885948827084027
24,6,0.2,12166,0.8842474526526523,1.6998593565265072,0.01263995843204902
