history_hours,horizon_hours,frequency,candidate_windows,fully_observed_target_windows,fully_observed_target_window_ratio
24,1,1h,99756,96348,0.9658366414050282
24,3,1h,99654,93339,0.9366307423685953
24,6,1h,99501,89118,0.8956492899568849
24,12,1h,99195,81474,0.8213518826553757
24,24,1h,98583,69256,0.7025146323402615
24,168,1h,91239,20482,0.22448733545961705
72,1,1h,97308,94264,0.968717885477042
72,3,1h,97206,91465,0.9409398596794436
72,6,1h,97053,87557,0.9021565536356424
72,12,1h,96747,80522,0.8322945414328092
72,24,1h,96135,69006,0.7178030894055235
72,168,1h,88791,20353,0.2292236825804417
168,1,1h,92412,89371,0.9670930182227416
168,3,1h,92310,86578,0.9379048857111906
168,6,1h,92157,82679,0.8971537701965124
168,12,1h,91851,75662,0.8237471557195893
168,24,1h,91239,64182,0.7034491829152008
168,168,1h,83895,16337,0.19473150962512664
